"id","MeetingName","MeetingDate","Audience","Staff","Notes","Createdby"
176,"Dental Presentation",2/6/2006 0:00:00,60,"marcenia grace, tameka combs, ","i scheduled a dental presentation @ thurgood marshall magnet school to discuss the importance of brushing your teeth daily. we passed out tooth brushes that was supplied by Monarch dental and south texas dental. the principal really enjoyed us and invited us back for another occasion.",64
177,"Read Commission(Cuney Homes)",1/21/2006 0:00:00,75,"Ms. McClung,  and Ms. Naomi  were present","The Navigators met of Saturday the 21th at Cuney Homes complex, with the Bayou City group for the Read commission with the children.",83
179,"McDonalds CHIP Outreach",2/18/2006 0:00:00,10,"Iris Cruz, Theresa DeLaRosa","Members were in attendance to give information and to help fill out applications,as well as assist with any other needs",78
180,"McDonald's Chip Sign up",2/18/2006 0:00:00,80,"3","Tiffany, Christian, and myself served at the McDonald's at 5630 S. Gessner. We served with Ms. Cleo Amador from the Harris County Public Health & Environmental Services. She is Chip Education Specialist there. I think we had a nice response that day.",80
182,"Chip outreach",2/18/2006 0:00:00,20,"chip representative","Sabrina Marshal, Donna Hurd, Michelle Tolbert, and I assisted with the chip health fair at McDonalds on 255 Greens R",63
183,"CHIP Drive",2/26/2006 0:00:00,32,"Theresa DeLaRosa, Erica Rendon","Gave out info to about 30 or so people and also handed out applications to other programs.",78
184,"Eliot Elementary PAC/PTO Meeting",3/1/2006 0:00:00,16,"Erika Sosa, Rosie Miller"," Parent meeting
Educated parents on the importance of haveing a health home. CHIP education. HCHD Gold card and Medicaid informtaiton.",9
185,"Depression",3/7/2006 0:00:00,1,"2","",64
186,"Early Childhood Development",3/11/2006 0:00:00,50,"Not Certain","Presentation will be at the Babies-R-Us on Hollister. I have received materials from the AmeriCorps Bayou Literacy Help-line for the production.",79
188,"Posion Prevention",3/22/2006 0:00:00,25,"Iris Cruz, Cynthia Simien","Educated clients on Posion prevention and awareness. Offered information on poison proofing your house and work place. Handed out available resources on poison prevention such as pamphlets, Poison Help magnets, Mr. Yuk sticker and other usefull information. ",72
190,"Navigator Associates",2/28/2006 0:00:00,20,"Noemi Fuentes","I gave overview of navigator activities in the community and expressed invitation for audienct to become involved in the ''associate navigator'' program. I expressed the importance of this program and its' committment to the community-at-large. ",79
192,"Press Conference",2/7/2006 0:00:00,150,"Americorp members","This took place Texas Southern University, the conference was about the drug prescription plan PPA.",63
194,"United Way of Texas",2/15/2006 0:00:00,30,"Some Americorp members","This took place at the Gulf Coast Building.  Wanda and Zelda did a very good job putting together this Forum at the United Way Building. It was very informative. I enjoyed the tour of the 211 Call Center.  I did get a lot of information that I could use at my site.",63
195,"Healthcare Awareness",2/22/2006 0:00:00,43,"Vanessa McNeil and I","We did this presentation at Cornerstone Apartments.",63
196,"CHIP sign-up",2/25/2006 0:00:00,50,"Tameka Combs and a CHIP representative","This took place at Fiesta on Jensen.",63
197,"Medicare part D sign-up",2/27/2006 0:00:00,500,"Marcenia, Shiryle, Tameka Combs","This took place at LBJ.",63
199,"Discount Services",3/15/2006 0:00:00,20,"Vanessa McNeil and Tameka Combs","This took place at Cornerstone Apts.",63
200,"Medicare part D press conference",3/24/2006 0:00:00,50,"Marcenia, Theresa, Tameka Combs","This took place at NAM, Sheila Lee Jackson attended.",63
201,"Medical Healthfair",3/25/2006 0:00:00,50,"Marcenia, Sabrina, Donna, Patsy, Tameka Combs","This took place at A.C.T.I.O.N.",63
204,"Feria De Salud",4/2/2006 0:00:00,200,"Some Americorp members and  Tameka Combs","This health fair took place at Moody Park.  Over 1,000 persons attend the event. 91 persons visited and signed in at the table.They all got information and forms for CHIP/MEDICAID, DISCOUNT HEALTHCAE/ IMPORTANT EMERGENCY NUMBERS/ The latest Texas Medical Center News",63
208,"Unity Rally",4/9/2006 0:00:00,180,"Tameka Combs","This was organized by A.c.t.i.o.n CDC",63
209,"Medicare RX  Seminar GRB",1/28/2006 0:00:00,200,"None","Prescription Drug Seminar located at GRB.  Help seniors sign up for drug plans.",83
212,"Medicare RX  Training",1/21/2006 0:00:00,20,"None","Training for Medicare RX seminar GRB.",83
213,"Medicare Part-D",4/9/2006 0:00:00,25,"Marcenia Grace and Donna Hurd","myself and donna did a dual presentation at Bethlehem Baptist Church @1208 meadow, they were having their annual senior day brunch i talked about getting signed up for the seniors ms donna talked about her agency.we also gave goody bags that was filled with a variety of info with pens,cups,stickies and much more that was provided from donna agency and the health representatives that i work with on the side.",64
215,"Medicare Part-D",4/12/2006 0:00:00,65,"Marcenia Grace","i attended Prince Gym and talk with the seniors about the last minute preparations for getting signed up.i answered many questions concerning Medicare-D",64
216,"Meet your Navigator-Vanessa",4/13/2006 0:00:00,20,"Unknown","Presentation concerning the discount medical card and medicaid applications. Introduction to the AngelFood Ministries and Information about Habitat for Humanities in Houston. Katrina evacuees present with other residents of the apartment complex.",79
218,"Gold Card",4/13/2006 0:00:00,47,"Luz Serrano.","On April, 13, 2006 the staff from the Eligibility office came to my site to educate people on ohw to apply for gold card, I attended and help them out.",69
220,"2kWalk Fith Ward Community Healthfair",4/22/2006 0:00:00,40,"Marcenia Grace and Donna Hurd and Sabrina Marshall","i attended a healthfair on saturday @Island of Hope COGIC It was given by Dr Navonna Harris with UTMB.we offered at our table hchd discount card apps,medicaid and chip apps,along with a varity of other health info.",64
231,"ECHOS Health Fair",4/22/2006 0:00:00,100,"see in summary","Manisha Patel, Theresa Delarosa, Cynthia Diaz, Cynthia Simien, Cheryl Cameron, Theresa Aguelles

Had a table at the health fair, and some members helped complete surveys for echos sponsers to improve health fair.  ",76
232,"South Union",4/24/2006 0:00:00,30,"theresa delarosa","medicare Enrollment",78
233,"NAACP",4/25/2006 0:00:00,75,"Theresa DeLaRosa,Marcenia Grace,Hien Dang","Medicare Enrollment.  The Health Fair was celebrarted at NAACP 4205 Fannin, 77004, to help people who have Medicare part D meanwhile have introduce some healthcare plans to clients. There were some Americorp Navigators and I helped the clients to register to Medicare part D. Our day of services was completed at 3PM the same day.
",78
234,"Settegast Village",4/26/2006 0:00:00,20,"Theresa DeLaRosa,Marcenia Grace,Cynthia Simien","Medicare Enrollment",78
236,"north houston-rosslyn",4/27/2006 0:00:00,20,"theresa delarosa,marcenia grace,donna hurd","medicare enrollment",78
243,"md anderson ymca",4/28/2006 0:00:00,100,"donna hurd,marcenia grace","health fair",78
246,"Senior Companions",4/28/2006 0:00:00,80,"Hien Dang","This is the monthly meeting of Senior Companions, the event occured at 9797 S. Post Oaks from 9AM to 12 Noon. I often parcipate the meeting to translate for  Vietnamese members.",85
247,"Healthy Eating",5/2/2006 0:00:00,5,"Hien Dang","Handling food properly.Select fresh fruits and vegetables. Drink 8 glasses of water every day.Persons with high blood pressure should avoid drinking alcohol, salty foods. ",85
248,"CHIP Enrollment/George R. Brown",5/6/2006 0:00:00,1000,"Carol McClung, Ron Cookson","GAtewaytocare Members- Vanessa McNeil, Theresa Delarosa, Patrice Simien, Donna Hurd, Cheryl Cameron  Marcenia Grace, Tiffany Williams,Manisha Patel,Ebony Leeson.",79
252,"Medicare Part D",5/9/2006 0:00:00,5,"Hien Dang","About Medicare Prescription Drug Coverage. There is a limited time to enroll.",85
253,"Texas Children Health Fair ( S. Houston Inter Sch)",4/29/2006 0:00:00,0,"I was invited by El Centro de Corazon (3)","I attended to a health fair Saturda April 29, 2006 at South Houston Intermediate School coordinated the Texas Children.",68
255,"Lyons Health Fair",5/20/2006 0:00:00,100,"Manisha Patel, Iris Cruz, Hein Dang","We had a table at the health fair.  We gave out HCHD Eligibility, Texcare, and Food Stamp Applications, as well as health pamphlets.  ",76
259,"Celebrating Community Partners",5/23/2006 0:00:00,300,"none","AmeriCorps/GatewayToCare members-Theresa Delarosa,Vanessa McNeil,Donna Hurd, Patsy Taylor,Teresa Arguelles, and Cynthia Simien.",79
261,"U.S. Citizenship Workshop",4/29/2006 0:00:00,200,"none","",79
262,"ReachAcrossHoustonHealth Fair",5/20/2006 0:00:00,30,"none","First Health Fair this facility has produced. I invited several of the venders I am in contact with on a regular basis and a few I met at the 3rd ward   multi-service center health fair.This was a great success.",79
264,"Meet Your Navigator",4/13/2006 0:00:00,18,"none","Educational presentatioon on what the District has to offer. How to obtain services for your family and how to complete forms.",79
265,"Consumer-Driven-Healthcare",4/10/2006 0:00:00,8,"none","Presentation given for MHMRA.",79
266,"Katrina Evacuees-Meet Your Navigaator",4/3/2006 0:00:00,12,"none","Presentation (Educational) for Crisis Outreach ",79
270,"Diabetes-Healthy Living-AM",5/4/2006 0:00:00,76,"none","",79
271,"Center of Faith&Health Initiatives",2/28/2006 0:00:00,15,"Noemi Fuentez","I,Vanessa McNeil brought presentation on the Associate Navigator Program, and conveyed the need for more in our communities.",79
272,"Ben Taub Spring Family Festival",4/20/2006 0:00:00,150,"none","Member attendees-Vanessa McNeil,Marcenia Graves, Donna Hurd, Theresa Delarosa, Cynthia Simien,Iris,",79
273,"Assistance",5/22/2006 0:00:00,10,"1","Had a meeting with teachers and some parents that where on looking to help with gold cards, because of no insurance on job...and whatever else type of application that they needed",84
274,"MayFest",5/20/2006 0:00:00,100,"Marcenia Grace and Donna Hurd","this event was a success senator rodney ellis and jarvis johnson was in attendance and the day was great.",64
275,"wonderful wednesday",5/24/2006 0:00:00,55,"Marcenia Grace and Donna Hurd","myself and donna discussed the new emergency plan for the city of houston and asked if any one of the seniors would like to sign up to be on the relief list.donna also signed up many of the seniors for area agency on aging.i passed out metrolift tickets that was donated to me for the seniors",64
276,"La Nueva Casa Health Fair",5/22/2006 0:00:00,200,"Marcenia Grace and Donna Hurd,Tameka Combs","this event was held under a tent and was ver success Mayor Bill White was in attendance",64
278,"wonderful wednesday",5/3/2006 0:00:00,20,"Marcenia Grace","i talked to the seniors about time fastly approaching for the medicare d deadline. i asked them not to wait to the last minute to sign up and if they knew anyone that needed help please pass on my contact information",64
279,"Metropolitan Health Fair",5/25/2006 0:00:00,125,"none","Member associates present-Theresa Delarosa, Teresa Arguilles,Donna Hurd, Vanessa McNeil,Marcenia Grace, Tameka Combs. Members collaborated and presented a table of information and help to the senior citizens present.",79
280,"Baby Basics",5/25/2006 0:00:00,12,"none","Education presentation demonstrating the true expression of love for your unborn child. How to preserve the memories and share them with the entire family. How to bond with your unborn and include the family. Why you should write letters and your thoughts of your unborn to share with the new arrival later. How and why you (the mother) should be a companion with your new born, and how to be a great mother, not just a mom.",79
285,"One Stop Health Fair",6/3/2006 0:00:00,500,"none","Member Navigators Present-Vanessa McNEil, Patsy Taylor, Marcenia Grace, Donna Hurd",79
286,"Barrett Station Health Advisory",6/6/2006 0:00:00,15,"Cynthia Simien","Discussed community outreach. Talk about upcoming events in the community and handed out flyer's from different organization",73
287,"Help Children by joining PTF",6/9/2006 0:00:00,60,"Hien Dang","Wheeler Avenue Christian Academy had a field trip for children from 8:00 AM to 12:00 PM to visite Children Museum. This activity helps children to join with community & environment. ",85
288,"Celebrating Community Partners",5/23/2006 0:00:00,100,"yes","A health fair given by Gulf Coast Community Services Assoc. Their were several vendors at the fair.",80
289,"Health Fair Good Hope Miss Baptist Church",6/3/2006 0:00:00,200,"yes","This Health Fair was given by Good Hope Miss. Bapitist Church. The Health Fair had a lot of vendors, also a lot of people attented the Fair.
The vendors were very informative, a lot of good contacts.",80
292,"childrens defense",6/5/2006 0:00:00,30,"Marcenia Grace and  Theresa Arguelles","ms theresa and myself gave a tour of settegast health center to 26 children and 4 chaperones. we also spoke to the children on our duties include and gave away toothbrushes,toothpaste, and bonus gifts ",64
293,"Jeria Bible church",6/10/2006 0:00:00,150,"Marcenia Grace and Donna Hurd","this healthfair was held at a multi ethic church and was very well attended.",64
294,"Community Heatlh Fair & Homecoming",7/15/2006 0:00:00,150,"Patsy Taylor & Cynthia Simien","Gateway To Care Table was set up. We had plenty of information flyers and brouchers that was given to clients.",73
295,"How To Talk To The Doctor",7/13/2006 0:00:00,40,"4","Workshop on the art of training patients how to properly talk to their doctors in order to receive better care.",83
296,"Greater Grace Outreach",7/15/2006 0:00:00,75,"Marcenia Grace,Donna Hurd, Sabrina Marshall","we attended this event and signed up clients for gc and whatever assistance they were seeking",64
297,"Bread of Life",7/12/2006 0:00:00,150,"Marcenia Grace,Donna Hurd, Sabrina Marshall","we assisted clients in filing out info for gc and utility assistance.this is a food pantry spanosored by the st john church downtown on dowling",64
298,"Harris County sheriffs store front",7/19/2006 0:00:00,25,"Marcenia Grace,Donna Hurd,","we took info over to the storefront resource center and spoke with the department on services that gateway to care offer",64
299,"Mcdonalds on Uvalde",7/17/2006 0:00:00,33,"Marcenia Grace,Donna Hurd,","we assisted children to sign up for medicare and gc services ",64
300,"The Prince Gym",7/19/2006 0:00:00,45,"Marcenia Grace,Donna Hurd,","we assisted clients at the gym to sign up for the commodity program thru harris county",64
301,"Community Health Worker Meeting",6/26/2006 0:00:00,9,"Marcenia Grace,Donna Hurd, Theresa Arguelles","we assisted ms kathy with input on the the preparations for the annual planning committee in october ",64
302,"Community Health choice",7/22/2006 0:00:00,111,"Marcenia Grace","we assisted children in getting shot in order for school",64
303,"Association of Black Cardiologists",7/22/2006 0:00:00,200,"Theresa DeLaRosa,Patsy Taylor,Cynthia Simien","Attended and represented Gateway to Care had a vendors table and passed out info",78
304,"Commodity Program Training",7/26/2006 0:00:00,8,"Marcenia Grace,Sabrina Marshall, Donna Hurd","Mr.Terrance Franklin from the houston food bank taught a training on who is eligible and what exactly is the commodity program.",64
305,"commodity sign up",7/30/2006 0:00:00,25,"Marcenia Grace,Donna Hurd, Sabrina Marshall","we assisted seniors at the church to sign up for commodity",64
306,"passed out childrens info for back to school, and ",7/23/2006 0:00:00,55,"Marcenia Grace,Donna Hurd, Sabrina Marshall","we assisted seniors at the church to sign up for commodity and help senior with benefits",64
307,"East Houston Regional Hospital",7/29/2006 0:00:00,55,"Marcenia Grace, Vanessa Mcnieil","we assisted seniors at the church to sign up for commodity.",64
318,"Community Meeting",7/27/2006 0:00:00,40,"Marcenia , Donna, Patsy, and Sabrina","we attend a community organization meeting for the aldine community at the sheriffs department.",64
323,"childrens defense fund",8/1/2006 0:00:00,50,"Marcenia Grace, Donna Hurd","This was a chip/ medicaid event to pass out info for the annual fiesta and mcdonalds event",64
324,"Oak Village Orientation ",8/2/2006 0:00:00,125,"Marcenia Grace,Donna Hurd","",64
325,"Oak Village Orientation ",8/2/2006 0:00:00,125,"Marcenia Grace,Donna Hurd","we signed up children for chip and medicaid for parents who attended and had no insurance for children",64
326,"Prince Gym",8/2/2006 0:00:00,30,"Marcenia Grace,Donna Hurd","we sugned up sebiors for the commodity program",64
330,"De Madres A Madres",8/4/2006 0:00:00,500,"Marcenia Grace,Donna Hurd ","we pass out healthcare literature which included goldcard apps medicaid and area agency on aging info",64
331,"Fifth Ward Baptist Church",8/5/2006 0:00:00,400,"Marcenia,Donna,Sabrina,Racual,theresa A","we passed out healthcare literature at healthcare noemi also attended",64
332,"childrens defense fund",8/9/2006 0:00:00,500,"Marcenia,donna,thresa,patsy,sabrina","we assisted children defense fund pass out literature on chip and medicaid",64
333,"Hester House",8/10/2006 0:00:00,450,"marcenia,donna,sabrina","we passed out healthcare literature and trinkets to everyone,we also signed up for the commodity chip and goldcard info",64
334,"Healthcare Info",8/13/2006 0:00:00,125,"Marcenia Grace,Donna Hurd","we signed up senior for commodity and answered a variety of questions on different healthcare issues at Bethlehem Baptist church",64
335,"Commodity Sign Up",7/31/2006 0:00:00,225,"marcenia,donna,sabrina","we attended 4 different churches to sign up for the commodity program before the deadline",64
336,"Chip/Medicaid  Sign up",8/12/2006 0:00:00,35,"Cornell Wheeler","We signed children up for chip as well as assisting people with The Eligibility Health card.The rotser states that we signed up 35 people.",88
337,"fifth ward back to school",8/5/2006 0:00:00,1000,"teresa arguelles","",62
340,"Almeda Mall Health Fair-FUUSA",7/29/2006 0:00:00,200,"see below","had a booth set up with hchd eligib applications, texcare applications, clinics list, health info and flyers, food stamop applications. 

manisha, iris, tamika combs, donna h, marcina, sabrina, patsy t, theresa d. ",76
341,"Charla",8/9/2006 0:00:00,6,"Rosie Martinez","PN educated families about community resources and HCHD FA information.",9
342,"Overcomers Community",8/16/2006 0:00:00,25,"Marcenia donna","we signed up seniors for the commodity program and spoke on the services gateway to care provides",64
344,"fifth ward baptist church ",8/5/2006 0:00:00,0,"rachael arguelles ,donna hurd, ","this was a back to school health fair.",61
345,"Fiesta CHIP Enrollment",8/12/2006 0:00:00,50,"Cynthia Simien","Went to Fiesta Mart @ 9219 Mesa Drive in Houston TX. Arrived there around
8:00 am Saturday morning, waited for the manager and he was on vacation, finally the assistance manager arrived. I spoke to him about the CHIP 
enrollment that was to take place at this location and he was not informed of the event, stated that know one had mention it to him. So
I felt and went to the Fiesta off of East Fwy. to assist Ms. Vanessa
",73
346,"childrens defence fund chip enrollment",8/9/2006 0:00:00,0,"tersa arguelles","this was conducted at the museum of natural science.",61
347,"how to talk to your Doctor",7/29/2006 0:00:00,0,"TERESA ARGUELLES   CORNELL WHEELER","THIS WAS AT 2525 WASHINGTON AVE. ",61
349,"MCdonalds chip enrollment",8/19/2006 0:00:00,0,"TERESA ARGUELLES","this was at the 45north and rosamond  location.",61
351,"west gray multi ctr",5/25/2006 0:00:00,0,"","health fair ",61
352,"chip medicade training",6/20/2006 0:00:00,0,"","conducted by children defence fund.",61
353,"chip sign up volunteer meet",8/1/2006 0:00:00,0,"","conducted by carolyn devaughn > updates briefing and picking up material for chip enrollment kickoff.",61
354,"interfaith ministries",1/21/2006 0:00:00,0,"","conducted by wendy ramirez>trining for medicare part D SIGHNUP.",61
355,"CUNEY HOMES HEALTH FAIR",1/21/2006 0:00:00,0,"","HEALTHFAIR FOR RESIDENTS OF HEALTHFAIR.",61
359,"mhmra conference center",12/20/2005 0:00:00,0,"teresa arguelles, dan banks, donna hurd, ","medicare plan D update",61
361,"galena park migrant edu prog.",12/10/2005 0:00:00,0,"teresa arguelles sabrina marshall marcenia grace","health fair=assisted with elig sighnup",61
362,"press conference",2/7/2006 0:00:00,0,"teresa arguelles","montel williams presenting PAP ",61
363,"CHW FORUM AT UNITED WAY",2/15/2006 0:00:00,0,"TERESA ARGUELLES","UNITED WAY REFERRAL AND INFO MANAG. WAS THE SPEAKER.",61
364,"GEORGE R BROWN MED PART D ",1/28/2006 0:00:00,0,"","HELPED ENROLL SRS.",61
365,"ECHOS HEALTH FAIR",4/22/2006 0:00:00,0,"TERSA ARGUELLES","PRESENTED RESOURCES.",61
366,"CHIP Enrollment /McDonalds",2/18/2006 0:00:00,20,"Vanessa McNeil, Cynthia Simien, Rosie Martinez, ","Children's health outreach campaign, coordinated by Children's Defense Fund Of Texas in partnership with McDonalds.",79
375,"Blood Pressure/Glucose Screening",2/10/2006 0:00:00,60,"Vanessa McNeil, Tameka Combs","A.C.T.I.O.N Collaberation with Katrina Crisis Counseling",79
376,"Medicare Drug Coverage Info Fair",1/28/2006 0:00:00,300,"Vanessa McNeil, Cynthia Simien, Rosie Martinez, ","CARE-Interfaith Ministries Partnership (Factors in choosing a drug program)(held at the George R. Brown Convention Center - Houston, Texas)",79
377,"Health Care Awareness",2/22/2006 0:00:00,47,"Vanessa McNeil, Tameka Combs","AmeriCore Navigator Discount Health Care with Katrina Crisis Counseling. ",79
378,"Medicare Enrollment Part D",5/9/2006 0:00:00,100,"Vanessa McNeil","Location 288@Holly Hall/South Union Church",79
379,"CHIP Application Training",6/20/2006 0:00:00,15,"Vanessa McNeil","United Way location sponsored by Children's Defense Fund Of Texas",79
382,"diabetes/Healthy Living",5/4/2006 0:00:00,77,"Vanessa McNeil","Diabetes Informatin Question & Answer",79
383,"Diabetes",5/8/2006 0:00:00,25,"Vanessa McNeil","Diabetes Information and Harris County Discount Information",79
384,"Reach  Across Houston Health fair",5/20/2006 0:00:00,27,"Vanessa McNeil, AmeriCore Literacy Team","First Annual Health Fair",79
385,"Citizenship Workshop Training",6/29/2006 0:00:00,30,"Vanessa McNeil","Preparation for Citizenship Enrollment",79
386,"Citizenship Workshop Enrollment",7/1/2006 0:00:00,100,"Vanessa McNeil","Citizenship Processing",79
387,"Community Of Hope Quaterly Meeting",2/28/2006 0:00:00,16,"Vanessa McNeil","Presentation On Associate Navigator",79
388,"Press Conference For Prescription Drugs",2/7/2006 0:00:00,300,"Vanessa McNeil, AmeriCore Team, Kathleen McNamara","Special Guest....Montell Williams - PPA(Partnership For Prescription Assistance)",79
389,"Gifts For Kids/Prince Complex",12/20/2005 0:00:00,100,"Vanessa McNeil, Donna Herd, Marcenia Grace ","Christmas Gifts at Prince's Gym",79
390,"Meet Your Navigator",2/16/2006 0:00:00,10,"Vanessa McNeil","Presentation for discount health care At North Shore High School for teenage mothers",79
391,"Baby Basics",5/25/2006 0:00:00,12,"Vanessa McNeil","Parenting Class from 2:00PM - 3:00PM on Thursdays",79
392,"Consumer Driven Health Care",3/15/2006 0:00:00,20,"Vanessa McNeil, Tameka Combs ","Gold Card Applications Questions & Answers",79
393,"Katrina Evacuees - Meet Your Navigator",4/3/2006 0:00:00,12,"Vanessa McNeil","Gold Card Application Handouts and Appointment Making",79
394,"Consumer Driven Health Care",4/10/2006 0:00:00,8,"Vanessa McNeil","Information For CareNet Group",79
395,"Meet Your Navigator(Big Bass Complex)",4/13/2006 0:00:00,18,"Vanessa McNeil","Presentation On Choosing Discount Health Care With Katrina Crisis counseling",79
396,"Project care",6/22/2006 0:00:00,16,"Vanessa McNeil","CareNet-Loving Your Baby(Week 1)",79
397,"Project Care",6/29/2006 0:00:00,16,"Vanessa McNeil","Making The Memories That Last(Week 2)",79
398,"Project Care",7/6/2006 0:00:00,20,"Vanessa McNeil","Guest speaker From NCI(Demetria Turner)(Week 3)",79
399,"Project Care",7/13/2006 0:00:00,20,"Vanessa McNeil","Working And Taking Care Of Baby(Week 4)",79
400,"Project Care",7/20/2006 0:00:00,20,"Vanessa McNeil","Safe Baby Sleep(Week 5)",79
401,"Train The Trainer Initiative",7/13/2006 0:00:00,60," AmeriCore & Affiliates","Presentation By Paul Haidet - Baylor College Of Medicine.....A Continuing Education Workshop - GateWay To Care",79
402,"CHIP Enrollment /Fiesta Supermarkets",2/25/2006 0:00:00,15,"Vanessa McNeil, Iris Cruz, Erika Sosa","Child Care Outreach Campaign",79
403,"Hoops For Help",3/4/2006 0:00:00,70,"Vanessa McNeil","Basketball Tournament And Health Fair",79
404,"Book Fair LBJ Hospital",1/12/2006 0:00:00,100,"Vanessa McNeil, Michelle Tolbert","Sponsored By Harris County Hospital District",79
408,"My Medicare Matters",5/1/2006 0:00:00,110,"Vanessa McNeil","Guest Speakers Rodney Ellis and Sheila Jackson-Lee. Other members who attended included Theresa Delarosa, Marcinia Grace, Tameka Combs, Donna Herd,Cynthia Simien",79
409,"Dental Care Presentation",3/3/2006 0:00:00,75,"Vanessa McNeil","Convention at the George R. Brown Convention Center sponsored by The National Association Of College Stores/Health and Wellness Room. Convention was also held on 03/04006.",79
410,"Diabetes",5/8/2006 0:00:00,25,"Vanessa McNeil","Education Informaion On Diabetes Followed By Q&A",79
411,"prince gym harvest fest",9/6/2006 0:00:00,0,"teresa arguelles donna hurd ;marcenia grace","connie rose was having a harvest fest for senior citizens.",61
431,"americas community in action",4/29/2006 0:00:00,100,"Tameka, Marcenia, Theresa D, Donna","community health fair",63
432,"fithward multicenter",5/1/2006 0:00:00,120,"Tameka, Donna, Marcenia, Vanessa","assisted with medicare part d",63
433,"trot for tomagwa",5/6/2006 0:00:00,200,"Tameka, Dottie supervisor"," assisted site with clients",63
434,"George R Brown CHIP",5/6/2006 0:00:00,150,"tameka, donna, Sherry, Ebony, Theresa, Manisha, ","",63
440,"chip ",5/6/2006 0:00:00,150,"tameka, donna, Sherry, Ebony, Theresa, Manisha,"," assisted with chip signup at the convention center",63
441,"medicare part d",5/11/2006 0:00:00,80,"tameka, marcenia, donna","assisted at gateway to care",63
442,"health fair",5/13/2006 0:00:00,70,"tameka","assisted at oasis church with health fair",63
443,"my medicare matters",5/15/2006 0:00:00,50,"tameka, donna, theresa, marcenia, theresa","assisted at the cwa building",63
446,"community worker",5/17/2006 0:00:00,40,"tameka, theresa, theresa, marcenia, donna, patsy, ","continuing education",63
447,"san hose clinic",5/17/2006 0:00:00,25,"tameka, marcenia, patrice, donna","health fair",63
448,"la nueva casa de amigo",5/22/2006 0:00:00,100,"tameka, ,marcenia, donna","health fair",63
449,"metropolitan multipurpose center",5/25/2006 0:00:00,90,"tameka, donna, marcenia, vanessa, theresa, theresa","health fair",63
450,"hope baptist church",6/3/2006 0:00:00,80,"tameka, marcenia, donna, vanessa, patsy","health fair",63
451,"minutemaid park",6/10/2006 0:00:00,200,"tameka, supervisor dottie","assisted tomagwa clinic",63
452,"community health choice",6/24/2006 0:00:00,150,"tameka, donna, marcenia, sabrina","health fair",63
453,"action cdc",7/8/2006 0:00:00,160,"tameka","assisted with health fair",63
454,"chip health fair",7/10/2006 0:00:00,60,"tameka, donna, marcenia, sabrina","assisted with chip signup",63
455,"action cdc",7/15/2006 0:00:00,120,"tameka","assited with health fair",63
456,"action cdc",7/16/2006 0:00:00,150,"tameka","assisted with the unity rally",63
457,"abc",7/22/2006 0:00:00,300,"tameka","assisted with health fair",63
460,"fuusa health fair",7/29/2006 0:00:00,300,"tameka, donna, marcenia, sabrina, manisha, ","assisted in health fair",63
461,"chip",8/1/2006 0:00:00,40,"tameka, ,marcenia, donna, theresa, patsy","at united way for chip supplies",63
462,"immunization day",8/1/2006 0:00:00,10,"tameka, supervisor dottie","signed up clients with chip ",63
463,"moody park resource fair",8/4/2006 0:00:00,200,"tameka, ,marcenia, donna, patsy","assisted with health fair",63
464,"outreach at quaility living",9/15/2006 0:00:00,5,"tameka","assited clients with medical and food",63
465,"outreach at quaility living",9/16/2006 0:00:00,30,"tameka, supervisor anna","assited SWAM with food fair and did presentaitons",63
466,"outreach at quaility living",9/18/2006 0:00:00,5,"tameka","assited clints with medical needs",63
467,"outreach at quaility living",9/18/2006 0:00:00,3,"tameka","assisted client with medical needs",63
468,"wellness fair",9/20/2006 0:00:00,100,"tameka","assisted SWAM with health fair",63
469,"outreach at quaility living",9/23/2006 0:00:00,3,"tameka","assisted clients with medical needs",63
470,"Amerigroup RX plan Seminar",11/14/2006 0:00:00,60,"03","RX drug plan seminar held here at Acres Homes MSC. Monica, Donna and myself in attendance.",83
474,"CHC Health Fair",12/2/2006 0:00:00,100,"Marcenia Grace,Donna Hurd","we attended this event to assist clients in the area with wic,foodstamps, immunizations, and discount cards.Gloria Sanchez and Alana Bush also helped",64
476,"george r brown",12/2/2006 0:00:00,100,"teresa arguelles","poor turn out for this event.",61
482,"Parent Workshop",1/10/2007 0:00:00,15,"Trinette White","I attended a parent workshop at Hartsfield Elementary. I inform the parents about Americorps program. I informed them about the different resources that I could help them with, I also passed out flyers about chipmedicad, discount card, make the right call etc. The principal told me when they have more events she would like for me to be there if possible to info not just the parents but others as well.

",120
485,"Park to Park Run",1/14/2007 0:00:00,1000,"P. Taylor, T. White, D. Nguyen, and A. Bush","We pass out flyers at the 5k race on Sunday",119
489,"HarrisAcademyElem. Health Fair",1/13/2007 0:00:00,300,"2 ","Alpha Kappa Alpha Sorority,Inc Omicron Tau Omega Chapter organized this health fair.  We served at the Sarcoidosis booth.",80
490,"Year Book",1/29/2007 0:00:00,4,"Kathy"," Schedule dates to take pictures for yearbook.  Discussed who would be taking the pictures, duty will be divided by Claudia, Doug, Cindy and Melissa.",121
491,"Health Care Seminar",,0,"","",99
495,"Herman",,0,"","",99
496,"Parent Meeting",2/13/2007 0:00:00,20,"Trinette White","I went to the parent meeting at Hartsfield Elementary. We discussed that the school was offering free computer classes not just for the parents who children attend the school but for the whole community.I enformed the people about the program, the different resources that the program offers",120
497,"Services offered at Gateway to Care",2/6/2007 0:00:00,30,"christy W.","gateway to care/ AmeriCorps the services we offer.",40
